visibility,parent-FQN,method-name,param-list,return-type,tags
,org.jitsi.videobridge.cc.vp8.VP8Frame,getMaxSequenceNumber,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,getGid,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,needsKeyframe,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8QualityFilter,needsKeyframe,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.GenericAdaptiveTrackProjectionContext,needsKeyframe,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Videobridge,isShutdownInProgress,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference$NoOpDiagnosticContext,put,"[java.lang.String, java.lang.Object]",java.lang.Object,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.Conference$NoOpTimeSeriesPoint,put,"[java.lang.String, java.lang.Object]",java.lang.Object,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
,org.jitsi.videobridge.IceTransport,hasIceFailed,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.GenericAdaptiveTrackProjectionContext,rewriteRtcp,[org.jitsi.rtp.rtcp.RtcpSrPacket],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
