visibility,parent-FQN,method-name,param-list,return-type,local-variables,conditionals,multiple-statements,loops,parameters,returns,switches,ifs,static,returns-primitives
public,org.apache.fontbox.ttf.VerticalMetricsTable,getAdvanceHeight,int,int,False,False,False,False,True,True,False,True,False,True
public,org.apache.fontbox.util.BoundingBox,contains,"float, float",boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.pdmodel.encryption.AccessPermission,isPermissionBitOn,int,boolean,False,False,False,False,True,True,False,False,False,True
public,org.apache.pdfbox.util.SmallMap,size,,int,False,True,False,False,False,True,False,False,False,True
private,org.apache.pdfbox.tools.PDFText2HTML$FontState,openTag,java.lang.String,java.lang.String,False,False,False,False,True,True,False,False,False,False
private,org.apache.pdfbox.debugger.flagbitspane.FieldFlag,isFlagBitSet,"int, int",java.lang.Boolean,True,False,True,False,True,True,False,False,False,False
public,org.apache.fontbox.ttf.PostScriptTable,getName,int,java.lang.String,False,False,True,False,True,True,False,True,False,False
private,org.apache.fontbox.cmap.CMapParser,isWhitespaceOrEOF,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.debugger.flagbitspane.PanoseFlag,getFamilyKindValue,int,java.lang.String,False,False,False,False,True,True,False,False,False,False
private,org.apache.fontbox.cmap.CMapParser,isDelimiter,int,boolean,False,False,False,False,True,True,True,False,False,True
public,org.apache.fontbox.ttf.GlyfSimpleDescript,getEndPtOfContours,int,int,False,False,False,False,True,True,False,False,False,True
public,org.apache.fontbox.ttf.GlyfSimpleDescript,getFlags,int,byte,False,False,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdmodel.graphics.shading.Patch,getFlag1Color,,float[][],True,False,True,True,False,True,False,False,False,False
public,org.apache.fontbox.ttf.GlyfSimpleDescript,getYCoordinate,int,short,False,False,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdmodel.common.function.PDFunction,interpolate,"float, float, float, float, float",float,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.pdmodel.graphics.shading.GouraudShadingContext,interpolate,"float, long, float, float",float,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.pdmodel.graphics.shading.PatchMeshesShadingContext,interpolate,"float, long, float, float",float,False,False,False,False,True,True,False,False,False,True
private,org.apache.fontbox.cmap.CMap,getCodeFromArray,"byte[], int, int",int,True,False,True,True,True,True,False,False,False,True
public,org.apache.pdfbox.pdmodel.font.PDCIDFontType0,getCFFFont,,org.apache.fontbox.cff.CFFFont,False,False,False,False,False,True,False,True,False,False
private,org.apache.fontbox.cff.DataInput,peek,int,int,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.filter.CCITTFaxEncoderStream,getNextChanges,"int, boolean",int[],True,False,True,True,True,True,False,True,False,False
private,org.apache.pdfbox.pdmodel.graphics.shading.CoonsPatch,reshapeControlPoints,java.awt.geom.Point2D[],java.awt.geom.Point2D[][],True,False,True,False,True,True,False,False,False,False
private,org.apache.pdfbox.pdmodel.graphics.shading.TensorPatch,reshapeControlPoints,java.awt.geom.Point2D[],java.awt.geom.Point2D[][],True,False,True,True,True,True,False,False,False,False
,org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip,getMarkUp,java.lang.String,java.lang.String,False,False,False,False,True,True,False,False,False,False
private,org.apache.fontbox.cff.Type2CharStringParser,getMaskLength,,int,True,False,True,False,False,True,False,True,False,True
protected,org.apache.pdfbox.pdmodel.common.function.PDFunction,clipToRange,"float, float, float",float,False,False,True,False,True,True,False,True,False,True
private,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject,clampColor,float,float,False,True,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.rendering.PageDrawer,clampColor,float,float,False,True,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdfparser.BaseParser,isEndOfName,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.pdmodel.interactive.digitalsignature.COSFilterInputStream,inRange,,boolean,True,False,True,True,False,True,False,True,False,True
,org.apache.pdfbox.filter.CCITTFaxDecoderStream$Node,walk,boolean,org.apache.pdfbox.filter.CCITTFaxDecoderStream$Node,False,True,False,False,True,True,False,False,False,False
protected,org.apache.pdfbox.pdmodel.graphics.shading.Patch,getFlag2Color,,float[][],True,False,True,True,False,True,False,False,False,False
private,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.CloudyBorder,getPolygonDirection,java.awt.geom.Point2D$Double[],double,True,False,True,True,True,True,False,False,False,True
protected,org.apache.pdfbox.pdmodel.PDAbstractContentStream,isOutside255Interval,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.pdmodel.PDPageContentStream,isOutside255Interval,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.fontbox.type1.Type1Parser,decrypt,"byte[], int, int",byte[],True,False,True,True,True,True,False,True,False,False
public,org.apache.fontbox.cmap.CIDRange,unmap,int,int,False,False,True,False,True,True,False,True,False,True
private,org.apache.fontbox.afm.AFMParser,isEOL,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.filter.ASCIIHexFilter,isEOD,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.debugger.flagbitspane.PanoseFlag,getProportionValue,int,java.lang.String,False,False,False,False,True,True,False,False,False,False
private,org.apache.fontbox.afm.AFMParser,isWhitespace,int,boolean,False,False,False,False,True,True,False,False,False,True
private,org.apache.pdfbox.filter.ASCIIHexFilter,isWhitespace,int,boolean,False,False,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdfparser.BaseParser,isWhitespace,int,boolean,False,False,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdmodel.graphics.shading.Line,calcColor,java.awt.Point,float[],True,False,True,True,True,True,False,True,False,False
,org.apache.fontbox.cff.CFFParser$RangeMapping,isInRange,int,boolean,False,False,False,False,True,True,False,False,False,True
protected,org.apache.pdfbox.pdfparser.COSParser,lastIndexOf,"char[], byte[], int",int,True,False,True,True,True,True,False,True,False,True
