schemaTuple,visited,timesVisited
querywebhook,True,1
querywebhookevents,False,0
querywebhooksamplepayload,False,0
querywarehouse,True,5
querywarehouses,True,12
querytranslations,True,3
querytranslation,False,0
querystock,False,0
querystocks,False,0
queryshop,True,10
queryshippingzone,False,0
queryshippingzones,True,1
querydigitalcontent,False,0
querydigitalcontents,False,0
queryattributes,True,184
queryattribute,True,4
querycategories,True,36
querycategory,True,122
querycollection,True,17
querycollections,True,14
queryproduct,True,20
queryproducts,True,217
queryproducttype,True,6
queryproducttypes,True,11
queryproductvariant,True,2
queryproductvariants,True,17
queryreportproductsales,True,1
querypayment,True,1
querypayments,True,1
querypage,True,7
querypages,True,10
queryhomepageevents,True,1
queryorder,True,13
queryorders,True,21
querydraftorders,True,1
queryorderstotal,True,1
queryorderbytoken,True,11
querymenu,True,3
querymenus,True,4
querymenuitem,False,0
querymenuitems,False,0
querygiftcard,False,0
querygiftcards,False,0
queryplugin,True,9
queryplugins,True,9
querysale,True,2
querysales,True,9
queryvoucher,False,0
queryvouchers,True,35
queryexportfile,True,3
queryexportfiles,False,0
querytaxtypes,True,1
querycheckout,False,0
querycheckouts,False,0
querycheckoutline,False,0
querycheckoutlines,False,0
queryappsinstallations,True,1
queryapps,True,2
queryapp,True,2
queryaddressvalidationrules,False,0
queryaddress,False,0
querycustomers,True,20
querypermissiongroups,True,2
querypermissiongroup,True,5
queryme,True,4
querystaffusers,True,10
queryuser,True,20
query_entities,False,0
query_service,False,0
webhookname,True,10
webhooktargeturl,True,1
webhookisactive,True,10
webhooksecretkey,True,1
webhookid,True,10
webhookevents,True,1
webhookapp,True,10
nodeid,False,0
webhookeventeventtype,True,1
webhookeventname,False,0
serviceaccountid,False,0
serviceaccountname,False,0
serviceaccountcreated,False,0
serviceaccountisactive,False,0
serviceaccountpermissions,False,0
serviceaccounttokens,False,0
serviceaccountprivatemetadata,False,0
serviceaccountmetadata,False,0
objectwithmetadataprivatemetadata,True,65
objectwithmetadatametadata,True,65
metadataitemkey,True,77
metadataitemvalue,True,77
metastorenamespace,False,0
metastoreclients,False,0
metaclientstorename,False,0
metaclientstoremetadata,False,0
metaitemkey,False,0
metaitemvalue,False,0
permissioncode,True,14
permissionname,True,14
serviceaccounttokenname,False,0
serviceaccounttokenauthtoken,False,0
serviceaccounttokenid,False,0
appid,True,18
appname,True,18
appcreated,True,6
appisactive,True,8
apppermissions,True,2
apptokens,True,6
appprivatemetadata,True,6
appmetadata,True,6
apptype,True,8
appwebhooks,True,6
appaboutapp,True,2
appdataprivacy,True,2
appdataprivacyurl,True,2
apphomepageurl,True,6
appsupporturl,True,6
appconfigurationurl,True,6
appappurl,True,6
appversion,True,6
appaccesstoken,True,6
apptokenname,True,6
apptokenauthtoken,True,6
apptokenid,True,6
webhookcountableconnectionpageinfo,False,0
webhookcountableconnectionedges,False,0
webhookcountableconnectiontotalcount,False,0
pageinfohasnextpage,True,426
pageinfohaspreviouspage,True,376
pageinfostartcursor,True,376
pageinfoendcursor,True,426
webhookcountableedgenode,False,0
webhookcountableedgecursor,False,0
warehouseid,True,93
warehousename,True,67
warehouseslug,False,0
warehousecompanyname,False,0
warehouseshippingzones,True,27
warehouseaddress,True,16
warehouseemail,False,0
shippingzonecountableconnectionpageinfo,True,1
shippingzonecountableconnectionedges,True,28
shippingzonecountableconnectiontotalcount,False,0
shippingzonecountableedgenode,True,28
shippingzonecountableedgecursor,False,0
shippingzoneid,True,33
shippingzonename,True,33
shippingzonedefault,True,5
shippingzonepricerange,False,0
shippingzonecountries,True,6
shippingzoneshippingmethods,True,5
shippingzonewarehouses,True,5
moneyrangestart,True,1
moneyrangestop,True,1
moneycurrency,True,1239
moneyamount,True,1239
countrydisplaycode,True,253
countrydisplaycountry,True,253
countrydisplayvat,True,1
vatcountrycode,False,0
vatstandardrate,True,1
vatreducedrates,True,1
reducedraterate,True,1
reducedrateratetype,True,1
shippingmethodid,True,143
shippingmethodname,True,112
shippingmethodprice,True,112
shippingmethodminimumorderprice,True,5
shippingmethodmaximumorderprice,True,5
shippingmethodminimumorderweight,True,5
shippingmethodmaximumorderweight,True,5
shippingmethodtype,True,5
shippingmethodtranslation,False,0
weightunit,True,14
weightvalue,True,14
shippingmethodtranslationid,False,0
shippingmethodtranslationname,False,0
shippingmethodtranslationlanguage,False,0
languagedisplaycode,True,22
languagedisplaylanguage,True,74
addressid,True,223
addressfirstname,True,201
addresslastname,True,201
addresscompanyname,True,201
addressstreetaddress1,True,201
