schemaTuple,visited,timesVisited
querywebhook,True,4
querywebhookevents,True,1
querywebhooksamplepayload,True,12
querywarehouse,True,4
querywarehouses,True,12
querytranslations,True,12
querytranslation,True,24
querystock,True,2
querystocks,True,6
queryshop,True,31
queryshippingzone,True,4
queryshippingzones,True,1
querydigitalcontent,True,9
querydigitalcontents,True,1
queryattributes,True,75
queryattribute,True,9
querycategories,True,35
querycategory,True,40
querycollection,True,30
querycollections,True,28
queryproduct,True,46
queryproducts,True,117
queryproducttype,True,12
queryproducttypes,True,29
queryproductvariant,True,46
queryproductvariants,True,22
queryreportproductsales,True,2
querypayment,True,1
querypayments,True,2
querypage,True,8
querypages,True,16
queryhomepageevents,True,2
queryorder,True,26
queryorders,True,98
querydraftorders,True,46
queryorderstotal,True,2
queryorderbytoken,True,31
querymenu,True,8
querymenus,True,12
querymenuitem,True,4
querymenuitems,True,8
querygiftcard,True,6
querygiftcards,True,1
queryplugin,True,2
queryplugins,True,10
querysale,True,1
querysales,True,35
queryvoucher,True,2
queryvouchers,True,45
queryexportfile,True,4
queryexportfiles,True,12
querytaxtypes,False,0
querycheckout,True,41
querycheckouts,True,1
querycheckoutline,True,1
querycheckoutlines,True,1
queryappsinstallations,True,2
queryapps,True,15
queryapp,True,11
queryaddressvalidationrules,True,3
queryaddress,True,5
querycustomers,True,56
querypermissiongroups,True,10
querypermissiongroup,True,5
queryme,True,13
querystaffusers,True,31
queryuser,True,37
query_entities,True,2
query_service,False,0
webhookname,True,8
webhooktargeturl,False,0
webhookisactive,True,4
webhooksecretkey,False,0
webhookid,True,4
webhookevents,True,4
webhookapp,False,0
nodeid,False,0
webhookeventeventtype,True,5
webhookeventname,True,1
serviceaccountid,False,0
serviceaccountname,False,0
serviceaccountcreated,False,0
serviceaccountisactive,False,0
serviceaccountpermissions,False,0
serviceaccounttokens,False,0
serviceaccountprivatemetadata,False,0
serviceaccountmetadata,False,0
objectwithmetadataprivatemetadata,True,1
objectwithmetadatametadata,True,1
metadataitemkey,True,117
metadataitemvalue,True,117
metastorenamespace,False,0
metastoreclients,False,0
metaclientstorename,False,0
metaclientstoremetadata,False,0
metaitemkey,False,0
metaitemvalue,False,0
permissioncode,True,23
permissionname,True,15
serviceaccounttokenname,False,0
serviceaccounttokenauthtoken,False,0
serviceaccounttokenid,False,0
appid,True,8
appname,True,38
appcreated,True,3
appisactive,True,8
apppermissions,True,8
apptokens,True,8
appprivatemetadata,True,4
appmetadata,True,4
apptype,True,8
appwebhooks,True,8
appaboutapp,True,8
appdataprivacy,True,8
appdataprivacyurl,True,8
apphomepageurl,True,8
appsupporturl,True,8
appconfigurationurl,True,8
appappurl,True,8
appversion,False,0
appaccesstoken,True,3
apptokenname,False,0
apptokenauthtoken,True,8
apptokenid,False,0
webhookcountableconnectionpageinfo,False,0
webhookcountableconnectionedges,False,0
webhookcountableconnectiontotalcount,False,0
pageinfohasnextpage,True,267
pageinfohaspreviouspage,True,265
pageinfostartcursor,True,265
pageinfoendcursor,True,266
webhookcountableedgenode,False,0
webhookcountableedgecursor,False,0
warehouseid,True,18
warehousename,True,21
warehouseslug,False,0
warehousecompanyname,True,11
warehouseshippingzones,True,5
warehouseaddress,True,5
warehouseemail,True,11
shippingzonecountableconnectionpageinfo,False,0
shippingzonecountableconnectionedges,True,6
shippingzonecountableconnectiontotalcount,True,1
shippingzonecountableedgenode,True,6
shippingzonecountableedgecursor,False,0
shippingzoneid,True,1
shippingzonename,True,8
shippingzonedefault,False,0
shippingzonepricerange,True,2
shippingzonecountries,True,5
shippingzoneshippingmethods,True,4
shippingzonewarehouses,True,1
moneyrangestart,True,3
moneyrangestop,True,3
moneycurrency,True,230
moneyamount,True,352
countrydisplaycode,True,67
countrydisplaycountry,True,55
countrydisplayvat,True,2
vatcountrycode,False,0
vatstandardrate,True,2
vatreducedrates,True,1
reducedraterate,True,1
reducedrateratetype,True,1
shippingmethodid,True,27
shippingmethodname,True,31
shippingmethodprice,True,29
shippingmethodminimumorderprice,True,1
shippingmethodmaximumorderprice,False,0
shippingmethodminimumorderweight,True,2
shippingmethodmaximumorderweight,True,2
shippingmethodtype,True,2
shippingmethodtranslation,True,2
